Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
C,Jonas Valanciunas,5800,POR@TOR 02/02/2018 07:30PM ET,25.639,TOR
SF/PF,Thaddeus Young,5700,IND@CHA 02/02/2018 07:00PM ET,26.346,IND
SF/PF,Kyle Kuzma,5600,LAL@BKN 02/02/2018 07:30PM ET,28.617,LAL
PF/C,Derrick Favors,5600,UTA@PHO 02/02/2018 09:00PM ET,26.824,UTA
PF/C,Serge Ibaka,5500,POR@TOR 02/02/2018 07:30PM ET,25.784,TOR
PG/SG,Malcolm Brogdon,5500,NY@MIL 02/02/2018 08:00PM ET,25.022,MIL
SF/PF,Marcus Morris,5400,ATL@BOS 02/02/2018 07:30PM ET,22.625,BOS
SF/PF,Robert Covington,5300,MIA@PHI 02/02/2018 08:00PM ET,28.435,PHI
SF/PF,James Johnson,5300,MIA@PHI 02/02/2018 08:00PM ET,25.012,MIA
SG/SF,Joe Ingles,5300,UTA@PHO 02/02/2018 09:00PM ET,24.12,UTA
PF/C,Nikola Mirotic,5200,NO@OKC 02/02/2018 09:00PM ET,0,NO
SG/SF,JJ Redick,5200,MIA@PHI 02/02/2018 08:00PM ET,27.574,PHI
SG/SF,Bogdan Bogdanovic,5200,GS@SAC 02/02/2018 10:30PM ET,21.09,SAC
SG/SF,Josh Jackson,5200,UTA@PHO 02/02/2018 09:00PM ET,18.795,PHO
SG,Kentavious Caldwell-Pope,5100,LAL@BKN 02/02/2018 07:30PM ET,26.435,LAL
PF/C,Kelly Olynyk,5100,MIA@PHI 02/02/2018 08:00PM ET,23.485,MIA
SF/PF,Al-Farouq Aminu,5100,POR@TOR 02/02/2018 07:30PM ET,23.391,POR
SG/SF,Rodney Hood,5000,UTA@PHO 02/02/2018 09:00PM ET,25.389,UTA
C,Greg Monroe,5000,UTA@PHO 02/02/2018 09:00PM ET,24.11,PHO
SF/PF,Larry Nance Jr.,5000,LAL@BKN 02/02/2018 07:30PM ET,23.045,LAL
SF/PF,Michael Beasley,5000,NY@MIL 02/02/2018 08:00PM ET,22.533,NY
SG/SF,Courtney Lee,4900,NY@MIL 02/02/2018 08:00PM ET,24.952,NY
SG/SF,Marcus Smart,4900,ATL@BOS 02/02/2018 07:30PM ET,24.457,BOS
PG/SG,Tyler Johnson,4900,MIA@PHI 02/02/2018 08:00PM ET,22.709,MIA
PF/C,Ed Davis,4900,POR@TOR 02/02/2018 07:30PM ET,17.324,POR
SG/SF,Caris LeVert,4800,LAL@BKN 02/02/2018 07:30PM ET,25.426,BKN
C,John Henson,4800,NY@MIL 02/02/2018 08:00PM ET,22.729,MIL
SG/SF,Buddy Hield,4800,GS@SAC 02/02/2018 10:30PM ET,21.75,SAC
PF/C,Marquese Chriss,4800,UTA@PHO 02/02/2018 09:00PM ET,18.639,PHO
PF/C,Skal Labissiere,4800,GS@SAC 02/02/2018 10:30PM ET,16.601,SAC
C,Brook Lopez,4700,LAL@BKN 02/02/2018 07:30PM ET,22.226,LAL
SG/SF,Allen Crabbe,4700,LAL@BKN 02/02/2018 07:30PM ET,22.208,BKN
SG/SF,E'Twaun Moore,4700,NO@OKC 02/02/2018 09:00PM ET,22.05,NO
PF/C,Frank Kaminsky,4700,IND@CHA 02/02/2018 07:00PM ET,19.165,CHA
C,Kosta Koufos,4700,GS@SAC 02/02/2018 10:30PM ET,17.415,SAC
PG,Rajon Rondo,4600,NO@OKC 02/02/2018 09:00PM ET,23.41,NO
C,Tyson Chandler,4600,UTA@PHO 02/02/2018 09:00PM ET,21.434,PHO
SG/SF,Lance Stephenson,4600,IND@CHA 02/02/2018 07:00PM ET,21.337,IND
SG/SF,Bojan Bogdanovic,4600,IND@CHA 02/02/2018 07:00PM ET,20.995,IND
SG/SF,Wayne Ellington,4600,MIA@PHI 02/02/2018 08:00PM ET,19.123,MIA
PF/C,Jarrett Allen,4600,LAL@BKN 02/02/2018 07:30PM ET,15.605,BKN
